  0   197    95    28
 15   193   100    36
 30   163    98    57
 45   117    96    91
 60    57    93   132
 75    16    94   159
 90     1    93   166
105    20    90   156
120    63    93   133
135   122    93   100
150   168    91    64
165   194    93    39
180   196    93    27
195   177    94    39
210   131    93    59
225    78    92    93
240    35    93   132
255     4    91   160
270     0    91   165
285    13    86   155
300    45    86   132
315    90    90    97
330   137    94    63
345   175    92    36
360   196    95    27


